transaction_id,customer_id,product_id,transaction_date,amount,payment_method,transaction_status,store_location,LastUpdated
41c33da3-1674-4a54-b712-c3d0cff4fba4,728,156,2022-12-04,418.8,Credit Card,Failed,Katelynbury,1994-11-01 02:16:29.850870
9784cae7-e93b-45c6-be25-e964daab9347,781,431,2023-02-13,92.42,Cash,Failed,Murphyberg,2011-10-10 22:29:23.421588
7b788e6b-2ec8-4a63-8169-73bc0c0faf64,761,293,2023-01-15,107.75,Cash,Pending,Longburgh,1975-09-27 22:34:49.253424
e03c7621-f79d-4ce7-b292-c53c7b55918a,964,34,2022-06-13,639.95,Debit Card,Pending,West Tomstad,1982-02-08 17:00:03.152066
d36274d0-1534-40fb-ba2f-01feca6392e9,802,426,2022-05-13,196.54,Cash,Pending,West Richardland,2023-06-30 10:14:25.147403
640b0e0b-860f-443c-ab36-0b5a2aad4075,519,201,2023-04-11,655.83,Online,Failed,Millerborough,1985-06-21 18:49:14.724082
73b07ec3-76e3-41fd-bb71-d8409a69be3a,311,340,2022-07-23,764.39,Debit Card,Pending,East Richardton,1983-03-17 19:08:22.589643
a3179cfa-88f6-4056-bdb7-0728637bc714,751,424,2023-01-10,724.91,Credit Card,Completed,West Michelleview,2009-08-02 17:03:44.227722
1c01bd3e-6d23-4e3a-a812-dfcc8f8bdf46,165,66,2023-03-06,894.8,Cash,Failed,Cheyennemouth,1980-03-31 13:07:09.879220
9c3eecef-54d6-4de3-9f75-d1b98e733384,691,200,2024-03-13,732.15,Online,Completed,Belindaburgh,1978-05-21 15:20:41.329182
bc88a203-3c0a-460c-a663-9d876fd133c6,188,251,2023-05-07,427.16,Cash,Pending,West Joan,1977-01-06 23:23:03.592550
2be2fd6d-4d4d-4423-8106-aafc4158d130,963,499,2023-10-01,999.96,Credit Card,Pending,Lake Theresa,1984-04-13 20:06:27.685035
bd8d07cb-f356-4078-beb5-4d67e631fc69,443,488,2022-02-27,845.06,Credit Card,Completed,Flynnhaven,2021-02-11 08:23:05.799519
e2b4ef27-0358-490f-9fd3-b554a3b11be8,578,72,2022-10-17,922.51,Debit Card,Failed,East Richardfurt,1978-07-02 08:42:44.745091
74e1aaef-0505-4dfe-910d-0c3da32f8206,142,66,2022-03-21,257.5,Online,Completed,Curtisview,1998-08-13 02:18:54.592884
639840d0-b11e-4770-8e59-3cfc6ad9f207,636,301,2024-05-03,917.54,Credit Card,Completed,West Zacharyhaven,2018-03-28 08:28:49.262257
ce156148-76f2-44fa-b583-9ffb4644b1c8,632,221,2022-06-22,817.18,Debit Card,Failed,Jessicaborough,1978-10-29 16:18:40.496865
c5ae0612-cfc5-4e02-8569-ccdafc2c3e62,21,28,2024-08-21,665.99,Debit Card,Pending,Cardenasborough,2012-11-04 17:51:39.845137
1fa6b357-95b0-4bdd-9702-1e4acb5db5c3,548,290,2022-06-20,958.59,Online,Failed,Bradleymouth,1990-11-12 06:29:54.901972
cceb3a0e-3ab8-46ed-8cc7-00cbb64733e6,903,273,2022-01-12,234.69,Debit Card,Completed,Port Crystalmouth,2001-03-09 05:16:08.340375
17ef1d4c-83e0-49d3-bab7-e80d11755a42,920,477,2023-07-25,973.21,Cash,Failed,New Carlside,1977-04-23 18:44:52.618970
eadde529-ccfa-4ac7-8fa6-bac973e3625d,36,141,2022-10-04,937.02,Online,Failed,Bradystad,1975-06-23 22:40:19.833650
f1d67320-d24a-4695-a7f1-14d9fb21005e,176,298,2023-05-01,932.34,Credit Card,Failed,Lake Aaron,2023-12-24 04:34:19.820640
bb93ab55-fb93-4e78-b55b-6e2ebdd8b20c,730,241,2024-11-11,393.28,Online,Pending,Victorview,1993-04-12 16:30:21.613929
49beefe4-802f-45a5-94e1-1794633ec8fb,170,59,2024-11-24,310.93,Debit Card,Failed,Michellechester,1979-11-24 17:47:08.459788
428c1e1e-263c-4327-aae9-d42a133e1df1,796,401,2022-09-19,424.8,Online,Completed,Christinebury,1974-01-21 21:51:15.707871
